," 30,000"
" 4,800","15,800"
" 3,000","5,000"
" 4,500","8,000"
," 35,000"
" 1,000","20,000"
" 12,000","25,000"
," 14,980"
," 6,000"
" 1,000","20,000"
," 26,800"
," 39,800"
" 7,500","14,000"
" 25,000","43,000"
" 12,800","26,900"
," 9,400"
," 8,200"
," 5,000"
" 3,000","50,000"
," 30,000"
" 31,000","40,000"
